asset,strategy_name,leverage,trades,wins,losses,liquidations,win_rate,total_r,average_r,profit_factor,max_drawdown_r,total_margin_return_pct,average_margin_return_pct
ALL,liquidity_sweep_reversal,10.0,1,1,0,0,1.0,1.166666666666664,1.166666666666664,1.166666666666664,0.0,0.1263334939667955,0.1263334939667955
WLD,momentum_continuation,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,momentum_continuation,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,pullback_reclaim,10.0,2,1,1,0,0.5,2.166666666666668,1.083333333333334,3.166666666666668,1.0,0.20726498533612958,0.10363249266806479
ALL,pullback_reclaim,10.0,2,1,1,0,0.5,2.166666666666668,1.083333333333334,3.166666666666668,1.0,0.20726498533612958,0.10363249266806479
WLD,range_reclaim,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,vwap_reclaim,10.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.17326941389587328,-0.08663470694793664
ALL,vwap_reclaim,10.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.17326941389587328,-0.08663470694793664
